SL NO.,PROJECT NAME*,LOCATION*,CUSTOMER NAME*,CUSTOMER CONTACT DETAILS*,COMMAND,CORPS,DIV NAME,BRIGADE NAME,UNIT NAME*,BEL ENGINEER NAME*,TYPE OF ACTIVITY (WARRANTY SUPPORT /  I&C)*,ACTIVITY START DATE*,ACTIVITY END DATE*,ITEM TYPE(UNIT/MODULE/PCB/ACCESSORIES),ITEM NAME*,PART NUMBER*,SERIAL NO*,YEAR OF MFG,DEFECT MENTIONED BY CUSTOMER *,DEFECT OBSERVED BY BEL*,RECTIFICATION DETAILS*,STATUS (SERVICEBLE/UNSERVICEBLE)*,SW VERSION,SPARE PART USED*,REMARKS
,,,,,,,,,,,,,,,,,,,,,,,,,
